"dec_lon","dec_lat","gps","plot","species","dbh_cm","height_m","dbh_height"
15.482598,-2.50533,"10_2_1","elephants","HA",10,3.2,0.494850021680094
15.482952,-2.501224,"100_1_1","elephants","HA",10.9,4.8,0.356185260565036
15.4838,-2.503496,"100_2_1","elephants","HA",10.9,3.2,0.532276519620718
15.48309,-2.501109,"101_1_1","elephants","HA",18.7,5.4,0.53944784671353
15.483822,-2.503495,"101_2_1","elephants","HA",14.5,3.8,0.581584405618165
15.48306,-2.501219,"102_1_1","elephants","HA",10.1,4.2,0.381072083384742
15.483838,-2.503502,"102_2_1","elephants","HA",12,4,0.477121254719662
15.482921,-2.501285,"103_1_1","elephants","HA",19,6.2,0.486361911454575
15.48386,-2.503491,"103_2_1","elephants","HA",15,5,0.477121254719662
15.482971,-2.501366,"104_1_1","elephants","HA",11.3,4,0.451018452155457
15.483851,-2.503484,"104_2_1","elephants","HA",14.5,5,0.462397997898956
15.482931,-2.501382,"105_1_1","elephants","HA",11.3,3.4,0.521599526441165
15.483896,-2.503405,"105_2_1","elephants","HA",16,3.8,0.624336386039115
15.482883,-2.501415,"106_1_1","elephants","HA",9.8,4.8,0.309984838316908
15.483918,-2.503376,"106_2_1","elephants","HA",14.7,5.2,0.451313991113377
15.482876,-2.501383,"107_1_1","elephants","HA",11.9,4.4,0.432094284906343
15.483874,-2.503347,"107_2_1","elephants","HA",12.7,4.5,0.450591207180613
15.482882,-2.501396,"108_1_1","elephants","HA",10.3,4.2,0.389587934307272
15.483839,-2.503339,"108_2_1","elephants","HA",11.2,4.5,0.396005508894838
15.482836,-2.501353,"109_1_1","elephants","HA",9.1,3,0.481920137601431
15.483818,-2.503385,"109_2_1","elephants","HA",10.1,5.2,0.288318030147843
15.482867,-2.505267,"11_2_1","elephants","HA",10.2,2.6,0.5936268237911
15.482821,-2.501441,"110_1_1","elephants","HA",10,5,0.301029995663981
15.483619,-2.503298,"110_2_1","elephants","HA",11,3.8,0.461609088541415
15.482811,-2.501474,"111_1_1","elephants","HA",9.2,4.2,0.340538536947655
15.483632,-2.503271,"111_2_1","elephants","HA",11.9,3.8,0.495763364775721
15.482859,-2.501495,"112_1_1","elephants","HA",10.1,4.8,0.323080136407055
15.483593,-2.503268,"112_2_1","elephants","HA",11,2.9,0.578994687259269
15.48289,-2.501457,"113_1_1","elephants","HA",10.9,6,0.25927524755698
15.483552,-2.503262,"113_2_1","elephants","HA",17.3,5,0.539076098792777
15.482876,-2.501468,"114_1_1","elephants","HA",11,5,0.342422680822206
15.483638,-2.50323,"114_2_1","elephants","HA",12.2,3.8,0.506576234057938
15.482906,-2.501483,"115_1_1","elephants","HA",21.4,6.2,0.538022083850937
15.483774,-2.503221,"115_2_1","elephants","HA",10.5,2.6,0.60621595109912
15.482857,-2.501508,"116_1_1","elephants","HA",14,3.6,0.589825534910951
15.483593,-2.502906,"116_2_1","elephants","HA",10,2.6,0.585026652029182
15.483016,-2.501522,"117_1_1","elephants","HA",19.4,4.2,0.664552439532326
15.483601,-2.502935,"117_2_1","elephants","HA",19.4,4,0.685741738602264
15.483058,-2.501486,"118_1_1","elephants","HA",11.3,4,0.451018452155457
15.483687,-2.502735,"118_2_1","elephants","HA",15,5,0.477121254719662
15.483106,-2.501483,"119_1_1","elephants","HA",11.8,4.4,0.428429330819938
15.483731,-2.50277,"119_2_1","elephants","HA",13.5,5,0.431363764158987
15.482965,-2.505211,"12_2_1","elephants","HA",9.5,1.8,0.722451100185542
15.483113,-2.50151,"120_1_1","elephants","HA",12.2,4.6,0.423601998993174
15.483822,-2.502836,"120_2_1","elephants","HA",12,4.6,0.416423414366051
15.483203,-2.501483,"121_1_1","elephants","HA",13.5,5.4,0.397940008672038
15.483824,-2.502843,"121_2_1","elephants","HA",10,4.6,0.337242168318426
15.483178,-2.501614,"122_1_1","elephants","HA",14.5,4,0.559308010907013
15.483846,-2.502808,"122_2_1","elephants","HA",13.8,3.4,0.608400169358981
15.483155,-2.50165,"123_1_1","elephants","HA",13,3.8,0.534159755690027
15.483842,-2.502864,"123_2_1","elephants","HA",10.9,4.2,0.414177207542723
15.483164,-2.501633,"124_1_1","elephants","HA",13,5.2,0.397940008672038
15.483925,-2.502882,"124_2_1","elephants","HA",13,4.2,0.490694061908936
15.483148,-2.501659,"125_1_1","elephants","HA",11.7,4,0.466125870418199
15.483923,-2.502868,"125_2_1","elephants","HA",10.5,2.2,0.678766618247732
15.483099,-2.50168,"126_1_1","elephants","HA",10.5,3.8,0.441405702453128
15.483953,-2.502869,"126_2_1","elephants","HA",10.9,2.2,0.695003817118417
15.482997,-2.501555,"127_1_1","elephants","HA",10.4,3.6,0.460730838531493
15.483943,-2.502868,"127_2_1","elephants","HA",11.3,3.8,0.47329484686661
15.482982,-2.501524,"128_1_1","elephants","HA",17.5,3,0.765916793966632
15.483927,-2.502814,"128_2_1","elephants","HA",12,3.8,0.499397649430815
15.482896,-2.501618,"129_1_1","elephants","HA",14.5,3,0.684246747515312
15.483953,-2.502802,"129_2_1","elephants","HA",11.2,3.2,0.544068044350276
15.482914,-2.505061,"13_2_1","elephants","HA",12.3,2.6,0.67493176346858
15.482813,-2.501612,"130_1_1","elephants","HA",16,5.4,0.471726222832956
15.483993,-2.502695,"130_2_1","elephants","HA",23.5,5.4,0.638674102448768
