"Track.n." "Slice.n." "X" "Y" "Distance" "Velocity" "Pixel.Value" "Treat" "Replica" "was.disp" "ID" "time"
"1" 1 1 2022 3392 "-1.000" -1 -5660796 1 1 0 1101 10
"2" 1 2 2048 3485 "96.566" 9.657 -5069420 1 1 0 1101 20
"3" 1 3 2077 3712 "228.845" 22.884 -5463426 1 1 0 1101 30
"4" 1 4 2103 3767 "60.836" 6.084 -6844827 1 1 0 1101 40
"5" 1 5 2163 3857 "108.167" 10.817 -3291995 1 1 0 1101 50
"6" 1 6 2163 3831 "26.000" 2.6 -5659757 1 1 0 1101 60
"7" 1 7 2355 3865 "194.987" 19.499 -3883857 1 1 0 1101 70
"8" 1 8 2350 3878 "13.928" 1.393 -2962504 1 1 0 1101 80
"9" 1 9 2611 3899 "261.843" 26.184 -6515072 1 1 0 1101 90
"10" 1 10 2645 3908 "35.171" 3.517 -2831697 1 1 0 1101 100
"11" 1 11 2291 3886 "354.683" 35.468 -4345984 1 1 0 1101 110
"12" 1 12 2163 3810 "148.862" 14.886 -5333900 1 1 0 1101 120
"13" 1 13 2001 3703 "194.147" 19.415 -5201034 1 1 0 1101 130
"14" 1 14 1928 3699 "73.110" 7.311 -5198714 1 1 0 1101 140
"15" 1 15 1928 3656 "43.000" 4.3 -4869218 1 1 0 1101 150
"16" 1 16 1898 3579 "82.638" 8.264 -5462135 1 1 0 1101 160
"17" 1 17 1924 3541 "46.043" 4.604 -6121094 1 1 0 1101 170
"18" 1 18 1894 3541 "30.000" 3 -5399440 1 1 0 1101 180
"19" 1 19 1928 3545 "34.234" 3.423 -5133178 1 1 0 1101 190
"20" 1 20 2001 3537 "73.437" 7.344 -4740993 1 1 0 1101 200
"21" 1 21 2090 3562 "92.445" 9.244 -4344431 1 1 0 1101 210
"22" 1 22 2082 3648 "86.371" 8.637 -3094100 1 1 0 1101 220
"23" 1 23 2022 3699 "78.746" 7.875 -5464455 1 1 0 1101 230
"24" 1 24 1937 3737 "93.107" 9.311 -5526388 1 1 0 1101 240
"25" 1 25 1873 3716 "67.357" 6.736 -4541811 1 1 0 1101 250
"26" 1 26 1902 3648 "73.926" 7.393 -4870259 1 1 0 1101 260
"27" 1 27 1915 3673 "28.178" 2.818 -4609389 1 1 0 1101 270
"28" 1 28 1881 3686 "36.401" 3.64 -5990023 1 1 0 1101 280
"29" 1 29 1856 3763 "80.957" 8.096 -4544133 1 1 0 1101 290
"30" 1 30 1779 3660 "128.600" 12.86 -5201809 1 1 0 1101 300
"31" 1 31 1804 3652 "26.249" 2.625 -6054014 1 1 0 1101 310
"32" 1 32 1877 3630 "76.243" 7.624 -5595781 1 1 0 1101 320
"33" 1 33 1877 3665 "35.000" 3.5 -4675190 1 1 0 1101 330
"34" 1 34 1928 3665 "51.000" 5.1 -6779277 1 1 0 1101 340
"35" 1 35 1915 3665 "13.000" 1.3 -3096685 1 1 0 1101 350
"36" 1 36 1787 3579 "154.208" 15.421 -5661321 1 1 0 1101 360
"37" 1 37 1804 3584 "17.720" 1.772 -6055313 1 1 0 1101 370
"38" 1 38 1732 3460 "143.388" 14.339 -6977696 1 1 0 1101 380
"39" 1 39 1757 3528 "72.450" 7.245 -6254497 1 1 0 1101 390
"40" 1 40 1467 3494 "291.986" 29.199 -3424613 1 1 0 1101 400
"41" 1 41 1378 3532 "96.773" 9.677 -4082299 1 1 0 1101 410
"42" 1 42 1369 3524 "12.042" 1.204 -3818351 1 1 0 1101 420
"43" 1 43 1390 3524 "21.000" 2.1 -6185848 1 1 0 1101 430
"44" 1 44 1390 3524 "0.000" 0 -4870259 1 1 0 1101 440
"45" 1 45 1390 3524 "0.000" 0 -5659506 1 1 0 1101 450
"46" 1 46 1390 3524 "0.000" 0 -4672621 1 1 0 1101 460
"47" 1 47 1390 3524 "0.000" 0 -5725297 1 1 0 1101 470
"48" 1 48 1390 3524 "0.000" 0 -6120568 1 1 0 1101 480
"49" 1 49 1361 3524 "29.000" 2.9 -5331586 1 1 0 1101 490
"50" 1 50 1275 3549 "89.560" 8.956 -5199473 1 1 0 1101 500
"51" 1 51 1250 3690 "143.199" 14.32 -5726334 1 1 0 1101 510
"52" 1 52 1612 3827 "387.057" 38.706 -5265007 1 1 0 1101 520
"53" 1 53 1924 3822 "312.040" 31.204 -4738661 1 1 0 1101 530
"54" 1 54 2316 3874 "395.434" 39.543 -6383747 1 1 0 1101 540
"55" 1 55 2611 3771 "312.464" 31.246 -5331303 1 1 0 1101 550
"56" 1 56 2897 3686 "298.364" 29.836 -5133947 1 1 0 1101 560
"57" 1 57 3131 3835 "277.411" 27.741 -4409947 1 1 0 1101 570
"58" 1 58 3443 3630 "373.322" 37.332 -4476770 1 1 0 1101 580
"59" 1 59 3682 3652 "240.010" 24.001 -5465217 1 1 0 1101 590
"60" 1 60 3908 3562 "243.261" 24.326 -5331580 1 1 0 1101 600
"61" 2 1 4245 3882 "-1.000" -1 -4278888 1 1 0 1102 10
"62" 2 2 4433 3921 "192.003" 19.2 -5396845 1 1 0 1102 20
"63" 2 3 4548 3831 "146.031" 14.603 -3027267 1 1 0 1102 30
"64" 2 4 4731 3865 "186.132" 18.613 -3882843 1 1 0 1102 40
